"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] PB_20x_pos_080921_037,[Mass] Plasma_01_20x_pos_080921_20,[Mass] Plasma_02_20x_pos_080921_22,[Mass] Plasma_03_20x_pos_080921_031,[Mass] Plasma_04_20x_pos_080921_025,[Mass] Plasma_05_20x_pos_080921_032,[Mass] Plasma_06_20x_pos_080921_028,[Mass] Plasma_07_20x_pos_080921_19,[Mass] Plasma_08_20x_pos_080921_033,[Mass] Plasma_09_20x_pos_080921_026,[Mass] Plasma_10_20x_pos_080921_21,[Mass] Plasma_11_20x_pos_080921_027,[Mass] Plasma_12_20x_pos_080921_034,[RT] PB_20x_pos_080921_037,[RT] Plasma_01_20x_pos_080921_20,[RT] Plasma_02_20x_pos_080921_22,[RT] Plasma_03_20x_pos_080921_031,[RT] Plasma_04_20x_pos_080921_025,[RT] Plasma_05_20x_pos_080921_032,[RT] Plasma_06_20x_pos_080921_028,[RT] Plasma_07_20x_pos_080921_19,[RT] Plasma_08_20x_pos_080921_033,[RT] Plasma_09_20x_pos_080921_026,[RT] Plasma_10_20x_pos_080921_21,[RT] Plasma_11_20x_pos_080921_027,[RT] Plasma_12_20x_pos_080921_034,[Height] PB_20x_pos_080921_037,[Height] Plasma_01_20x_pos_080921_20,[Height] Plasma_02_20x_pos_080921_22,[Height] Plasma_03_20x_pos_080921_031,[Height] Plasma_04_20x_pos_080921_025,[Height] Plasma_05_20x_pos_080921_032,[Height] Plasma_06_20x_pos_080921_028,[Height] Plasma_07_20x_pos_080921_19,[Height] Plasma_08_20x_pos_080921_033,[Height] Plasma_09_20x_pos_080921_026,[Height] Plasma_10_20x_pos_080921_21,[Height] Plasma_11_20x_pos_080921_027,[Height] Plasma_12_20x_pos_080921_034,[Score (MFE)] PB_20x_pos_080921_037,[Score (MFE)] Plasma_01_20x_pos_080921_20,[Score (MFE)] Plasma_02_20x_pos_080921_22,[Score (MFE)] Plasma_03_20x_pos_080921_031,[Score (MFE)] Plasma_04_20x_pos_080921_025,[Score (MFE)] Plasma_05_20x_pos_080921_032,[Score (MFE)] Plasma_06_20x_pos_080921_028,[Score (MFE)] Plasma_07_20x_pos_080921_19,[Score (MFE)] Plasma_08_20x_pos_080921_033,[Score (MFE)] Plasma_09_20x_pos_080921_026,[Score (MFE)] Plasma_10_20x_pos_080921_21,[Score (MFE)] Plasma_11_20x_pos_080921_027,[Score (MFE)] Plasma_12_20x_pos_080921_034,[Score (Tgt)] PB_20x_pos_080921_037,[Score (Tgt)] Plasma_01_20x_pos_080921_20,[Score (Tgt)] Plasma_02_20x_pos_080921_22,[Score (Tgt)] Plasma_03_20x_pos_080921_031,[Score (Tgt)] Plasma_04_20x_pos_080921_025,[Score (Tgt)] Plasma_05_20x_pos_080921_032,[Score (Tgt)] Plasma_06_20x_pos_080921_028,[Score (Tgt)] Plasma_07_20x_pos_080921_19,[Score (Tgt)] Plasma_08_20x_pos_080921_033,[Score (Tgt)] Plasma_09_20x_pos_080921_026,[Score (Tgt)] Plasma_10_20x_pos_080921_21,[Score (Tgt)] Plasma_11_20x_pos_080921_027,[Score (Tgt)] Plasma_12_20x_pos_080921_034,[Ions] PB_20x_pos_080921_037,[Ions] Plasma_01_20x_pos_080921_20,[Ions] Plasma_02_20x_pos_080921_22,[Ions] Plasma_03_20x_pos_080921_031,[Ions] Plasma_04_20x_pos_080921_025,[Ions] Plasma_05_20x_pos_080921_032,[Ions] Plasma_06_20x_pos_080921_028,[Ions] Plasma_07_20x_pos_080921_19,[Ions] Plasma_08_20x_pos_080921_033,[Ions] Plasma_09_20x_pos_080921_026,[Ions] Plasma_10_20x_pos_080921_21,[Ions] Plasma_11_20x_pos_080921_027,[Ions] Plasma_12_20x_pos_080921_034,
PC 16:2_18:2,C42 H76 N O8 P,753.5317,1.26,0,6.14,0.038,15277,12,1,97.2,6.1,7,10,,753.5339,753.5308,753.5311,753.5319,753.5310,753.5329,753.5309,753.5320,753.5315,753.5319,753.5316,753.5307,,6.160,6.126,6.138,6.129,6.124,6.147,6.140,6.122,6.137,6.133,6.139,6.125,,5355,15650,7081,17694,4972,8691,23169,13017,20389,26921,21694,18700,,,,,,,,,,,,,,,97.19,84.54,94.90,93.71,90.54,91.40,95.13,90.84,96.98,96.72,91.04,78.26,,8,8,7,9,8,9,9,8,10,9,9,8,
PC 37:5,C45 H80 N O8 P,793.5624,1.03,0,6.95,0.039,22320,12,1,88.5,10.0,9,14,,793.5642,793.5624,793.5614,793.5627,793.5624,793.5616,793.5621,793.5616,793.5635,793.5626,793.5617,793.5627,,6.958,6.940,6.952,6.938,6.938,6.968,6.955,6.964,6.929,6.953,6.942,6.951,,20200,32825,23976,29333,15992,16760,25543,17231,25675,21041,23837,15434,,,,,,,,,,,,,,,81.93,76.69,66.73,73.90,75.16,88.51,84.06,84.67,63.54,86.87,82.42,75.50,,10,12,11,14,12,10,10,12,11,11,11,9,
PC 34:4,C42 H76 N O8 P,753.5317,1.06,0,6.26,0.154,8573,12,1,96.3,7.3,7,11,,753.5339,753.5317,753.5317,753.5319,753.5310,753.5317,753.5306,753.5318,753.5317,753.5315,753.5311,753.5312,,6.160,6.254,6.260,6.263,6.124,6.259,6.246,6.278,6.260,6.261,6.267,6.265,,5379,8430,2374,9509,4949,4692,9243,10068,10027,16785,12770,8652,,,,,,,,,,,,,,,90.36,91.75,88.05,92.01,76.65,87.25,96.26,85.12,87.38,86.24,92.01,74.01,,8,11,10,10,8,11,10,7,10,8,10,8,
Cer_NS d18:1_24:1,C42 H81 N O3,647.6218,0.26,0,10.99,0.016,37117,12,1,99.4,0.7,9,11,,647.6219,647.6221,647.6215,647.6219,647.6217,647.6217,647.6217,647.6220,647.6219,647.6218,647.6218,647.6217,,10.997,10.991,10.985,10.994,10.993,10.992,10.990,10.997,10.985,10.981,10.988,10.985,,24655,41067,29970,49843,30141,18928,49793,27325,35732,48820,40320,48816,,,,,,,,,,,,,,,99.41,99.04,97.79,96.81,97.76,98.93,98.92,98.76,98.48,98.08,97.95,98.79,,10,10,10,9,10,11,11,10,10,11,10,11,
TG 62:16,C65 H94 O6,970.7053,0.86,0,11.23,0.021,19606,13,0,97.2,5.5,8,15,970.7073,970.7055,970.7054,970.7063,970.7050,970.7049,970.7041,970.7053,970.7054,970.7053,970.7048,970.7042,970.7050,11.216,11.232,11.220,11.225,11.223,11.227,11.221,11.225,11.237,11.231,11.227,11.222,11.225,3349,11097,25491,15094,18263,35350,21205,20769,8255,26438,24004,22660,22908,,,,,,,,,,,,,,78.36,93.48,93.42,92.36,94.90,90.23,96.30,97.20,85.19,90.12,90.37,92.21,95.49,10,12,14,12,8,12,15,13,11,13,11,13,13,
LPC 22:5/0:0,C30 H52 N O7 P,569.3487,0.60,0,1.97,0.017,14293,12,1,99.4,3.8,4,8,,569.3489,569.3489,569.3485,569.3484,569.3486,569.3486,569.3491,569.3491,569.3491,569.3484,569.3480,569.3486,,1.976,1.977,1.970,1.968,1.974,1.976,1.972,1.960,1.975,1.972,1.972,1.976,,14200,12279,22068,33492,20040,10501,11986,6590,7585,11744,12552,8480,,,,,,,,,,,,,,,95.81,93.05,98.27,99.36,93.30,97.26,94.95,96.45,97.10,85.34,95.16,94.29,,5,6,5,8,5,7,6,4,6,7,4,5,
PC 39:7,C47 H80 N O8 P,817.5615,2.29,0,6.77,0.085,11865,13,0,97.9,10.8,3,12,817.5554,817.5626,817.5616,817.5616,817.5621,817.5616,817.5622,817.5618,817.5624,817.5622,817.5624,817.5620,817.5621,6.766,6.774,6.762,6.751,6.754,6.827,6.756,6.771,6.775,6.795,6.763,6.742,6.767,2532,10038,7410,18287,17521,4169,14857,11748,6914,16120,18494,17666,8500,,,,,,,,,,,,,,61.49,97.85,90.11,94.52,93.20,78.80,96.15,90.44,91.49,94.61,94.61,93.73,92.98,3,10,7,12,12,8,12,10,12,11,11,11,9,
TG 56:11,C59 H92 O6,896.6903,1.30,0,11.52,0.058,18876,13,0,97.8,10.3,7,14,896.6933,896.6904,896.6894,896.6898,896.6898,896.6896,896.6907,896.6902,896.6903,896.6910,896.6896,896.6886,896.6915,11.528,11.533,11.521,11.515,11.524,11.529,11.522,11.515,11.499,11.510,11.528,11.557,11.515,2815,15655,34290,13532,26154,32281,14123,20663,8768,20008,24230,11124,21757,,,,,,,,,,,,,,67.74,91.71,97.85,92.44,97.69,94.20,95.51,78.00,79.94,80.48,91.91,93.90,91.66,8,12,12,7,14,10,12,11,7,11,7,11,14,
TG 52:8,C55 H90 O6,846.6742,0.59,0,11.87,0.067,21215,12,1,93.5,1.8,8,13,,846.6755,846.6744,846.6747,846.6739,846.6739,846.6743,846.6737,846.6736,846.6740,846.6744,846.6738,846.6743,,11.884,11.873,11.917,11.881,11.858,11.874,11.855,11.862,11.867,11.869,11.869,11.850,,4302,21777,4751,11505,14823,7071,36870,9215,42336,25028,29016,47896,,,,,,,,,,,,,,,88.48,90.82,91.66,92.69,89.67,91.54,92.44,92.55,93.53,91.99,89.18,89.46,,10,8,10,9,10,9,13,13,12,11,12,11,
PC 40:3,C48 H90 N O8 P,839.6413,2.12,0,9.67,0.134,18373,13,0,93.5,18.8,1,14,839.6471,839.6407,839.6402,839.6408,839.6411,839.6406,839.6407,839.6409,839.6412,839.6406,839.6404,839.6412,839.6410,9.554,9.675,9.680,9.658,9.688,9.682,9.670,9.667,9.670,9.663,9.664,9.676,9.669,2526,21363,17395,15451,26616,20511,19876,23046,13642,19925,25067,18877,14559,,,,,,,,,,,,,,33.54,93.05,86.39,90.08,89.43,85.78,91.79,77.85,85.45,84.95,93.49,91.63,89.87,1,11,12,13,11,12,14,11,13,13,13,14,10,
PC 37:5,C45 H80 N O8 P,793.5636,1.16,0,7.15,0.040,74787,12,1,97.8,3.1,13,17,,793.5642,793.5638,793.5635,793.5640,793.5647,793.5621,793.5630,793.5626,793.5637,793.5624,793.5652,793.5636,,7.148,7.152,7.142,7.133,7.145,7.147,7.173,7.154,7.136,7.159,7.143,7.141,,91460,75261,70113,87479,73036,72959,68086,71236,70573,74848,73874,68527,,,,,,,,,,,,,,,95.21,94.33,95.73,96.68,97.83,92.55,93.02,88.65,89.32,94.37,94.06,97.38,,14,13,15,14,16,13,17,15,15,15,15,14,
SM d32:1,C37 H75 N2 O6 P,674.5365,0.66,0,6.42,0.027,12340,12,1,97.6,4.0,4,9,,674.5362,674.5367,674.5360,674.5364,674.5356,674.5370,674.5368,674.5372,674.5367,674.5365,674.5361,674.5367,,6.417,6.416,6.422,6.430,6.436,6.421,6.430,6.418,6.433,6.423,6.418,6.410,,9177,17339,9480,14576,11646,12302,14581,9264,11557,14065,13183,10917,,,,,,,,,,,,,,,97.53,97.58,96.29,93.49,95.94,92.12,97.59,84.42,96.97,97.48,93.12,96.64,,8,9,8,8,7,7,7,5,4,8,8,5,
PC 32:2,C40 H76 N O8 P,729.5340,2.78,0,6.83,0.018,24074,13,0,85.8,5.9,4,11,729.5356,729.5371,729.5334,729.5367,729.5314,729.5324,729.5318,729.5307,729.5347,729.5335,729.5347,729.5353,729.5349,6.832,6.824,6.829,6.818,6.826,6.821,6.823,6.827,6.836,6.829,6.824,6.831,6.823,21587,25859,19175,22694,25115,24772,15564,25159,26314,22682,29815,27591,26640,,,,,,,,,,,,,,76.19,73.93,85.76,73.32,78.19,76.57,69.03,78.72,80.08,80.47,78.06,69.70,75.69,4,7,9,8,8,7,8,9,8,11,8,8,7,
