"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] PB_20x_pos_080921_037,[Mass] Plasma_01_20x_pos_080921_20,[Mass] Plasma_02_20x_pos_080921_22,[Mass] Plasma_03_20x_pos_080921_031,[Mass] Plasma_04_20x_pos_080921_025,[Mass] Plasma_05_20x_pos_080921_032,[Mass] Plasma_06_20x_pos_080921_028,[Mass] Plasma_07_20x_pos_080921_19,[Mass] Plasma_08_20x_pos_080921_033,[Mass] Plasma_09_20x_pos_080921_026,[Mass] Plasma_10_20x_pos_080921_21,[Mass] Plasma_11_20x_pos_080921_027,[Mass] Plasma_12_20x_pos_080921_034,[RT] PB_20x_pos_080921_037,[RT] Plasma_01_20x_pos_080921_20,[RT] Plasma_02_20x_pos_080921_22,[RT] Plasma_03_20x_pos_080921_031,[RT] Plasma_04_20x_pos_080921_025,[RT] Plasma_05_20x_pos_080921_032,[RT] Plasma_06_20x_pos_080921_028,[RT] Plasma_07_20x_pos_080921_19,[RT] Plasma_08_20x_pos_080921_033,[RT] Plasma_09_20x_pos_080921_026,[RT] Plasma_10_20x_pos_080921_21,[RT] Plasma_11_20x_pos_080921_027,[RT] Plasma_12_20x_pos_080921_034,[Height] PB_20x_pos_080921_037,[Height] Plasma_01_20x_pos_080921_20,[Height] Plasma_02_20x_pos_080921_22,[Height] Plasma_03_20x_pos_080921_031,[Height] Plasma_04_20x_pos_080921_025,[Height] Plasma_05_20x_pos_080921_032,[Height] Plasma_06_20x_pos_080921_028,[Height] Plasma_07_20x_pos_080921_19,[Height] Plasma_08_20x_pos_080921_033,[Height] Plasma_09_20x_pos_080921_026,[Height] Plasma_10_20x_pos_080921_21,[Height] Plasma_11_20x_pos_080921_027,[Height] Plasma_12_20x_pos_080921_034,[Score (MFE)] PB_20x_pos_080921_037,[Score (MFE)] Plasma_01_20x_pos_080921_20,[Score (MFE)] Plasma_02_20x_pos_080921_22,[Score (MFE)] Plasma_03_20x_pos_080921_031,[Score (MFE)] Plasma_04_20x_pos_080921_025,[Score (MFE)] Plasma_05_20x_pos_080921_032,[Score (MFE)] Plasma_06_20x_pos_080921_028,[Score (MFE)] Plasma_07_20x_pos_080921_19,[Score (MFE)] Plasma_08_20x_pos_080921_033,[Score (MFE)] Plasma_09_20x_pos_080921_026,[Score (MFE)] Plasma_10_20x_pos_080921_21,[Score (MFE)] Plasma_11_20x_pos_080921_027,[Score (MFE)] Plasma_12_20x_pos_080921_034,[Score (Tgt)] PB_20x_pos_080921_037,[Score (Tgt)] Plasma_01_20x_pos_080921_20,[Score (Tgt)] Plasma_02_20x_pos_080921_22,[Score (Tgt)] Plasma_03_20x_pos_080921_031,[Score (Tgt)] Plasma_04_20x_pos_080921_025,[Score (Tgt)] Plasma_05_20x_pos_080921_032,[Score (Tgt)] Plasma_06_20x_pos_080921_028,[Score (Tgt)] Plasma_07_20x_pos_080921_19,[Score (Tgt)] Plasma_08_20x_pos_080921_033,[Score (Tgt)] Plasma_09_20x_pos_080921_026,[Score (Tgt)] Plasma_10_20x_pos_080921_21,[Score (Tgt)] Plasma_11_20x_pos_080921_027,[Score (Tgt)] Plasma_12_20x_pos_080921_034,[Ions] PB_20x_pos_080921_037,[Ions] Plasma_01_20x_pos_080921_20,[Ions] Plasma_02_20x_pos_080921_22,[Ions] Plasma_03_20x_pos_080921_031,[Ions] Plasma_04_20x_pos_080921_025,[Ions] Plasma_05_20x_pos_080921_032,[Ions] Plasma_06_20x_pos_080921_028,[Ions] Plasma_07_20x_pos_080921_19,[Ions] Plasma_08_20x_pos_080921_033,[Ions] Plasma_09_20x_pos_080921_026,[Ions] Plasma_10_20x_pos_080921_21,[Ions] Plasma_11_20x_pos_080921_027,[Ions] Plasma_12_20x_pos_080921_034,
PC 22:0_18:2,C48 H92 N O8 P,841.6568,1.43,0,10.29,0.077,14396,13,0,96.3,11.9,4,12,841.6605,841.6574,841.6567,841.6565,841.6565,841.6573,841.6561,841.6564,841.6563,841.6556,841.6565,841.6570,841.6559,10.354,10.311,10.293,10.299,10.279,10.296,10.284,10.281,10.322,10.321,10.278,10.279,10.283,2240,8472,18080,10976,20288,17003,15279,14734,8573,15765,23476,19261,13009,,,,,,,,,,,,,,55.58,91.31,96.15,92.70,91.52,91.79,96.30,95.70,87.20,87.74,94.26,94.06,86.84,4,11,8,10,12,12,10,9,10,9,10,9,8,
PC 37:5,C45 H80 N O8 P,793.5650,2.34,0,8.02,0.043,123444,13,0,86.0,14.0,2,16,793.5660,793.5668,793.5649,793.5650,793.5669,793.5659,793.5646,793.5649,793.5597,793.5659,793.5648,793.5663,793.5637,8.052,8.018,8.017,8.018,8.020,8.009,8.018,8.021,8.013,8.017,8.012,8.014,8.017,10681,123036,155892,158932,117551,88090,101849,194871,130781,75765,208535,127493,111306,,,,,,,,,,,,,,48.35,67.22,70.79,81.25,71.74,67.05,83.76,85.99,74.53,69.67,85.92,72.37,81.10,2,13,12,12,14,12,13,14,10,10,16,14,13,
LPC 0:0/20:2,C28 H54 N O7 P,547.3650,5.58,0,2.62,0.008,93025,13,0,80.9,17.3,2,9,547.3750,547.3651,547.3639,547.3640,547.3638,547.3637,547.3646,547.3632,547.3645,547.3646,547.3654,547.3636,547.3637,2.622,2.623,2.623,2.623,2.627,2.622,2.623,2.625,2.624,2.622,2.625,2.625,2.629,2076,99127,110810,95802,103999,102820,90217,112868,102300,91936,101231,110219,85930,,,,,,,,,,,,,,32.31,76.54,74.51,78.19,78.22,76.16,76.97,70.68,71.56,78.29,78.07,80.67,80.87,2,5,6,4,9,7,4,5,5,5,7,6,3,
LPC 17:1/0:0,C25 H50 N O7 P,507.3328,1.64,0,2.10,0.185,6486,13,0,97.6,16.5,2,7,507.3351,507.3331,507.3325,507.3323,507.3322,507.3329,507.3319,507.3327,507.3330,507.3328,507.3330,507.3327,507.3317,2.018,2.165,2.189,2.193,2.091,2.203,2.194,2.089,2.133,2.098,2.083,2.089,2.093,4432,3409,7757,8252,10958,5861,3549,10813,2539,8057,8807,6353,3539,,,,,,,,,,,,,,51.31,86.35,78.33,82.60,88.26,70.41,67.23,92.04,96.06,95.87,87.58,97.59,96.53,2,4,5,5,5,4,6,6,5,5,7,5,5,
ACar 12:1,C19 H35 N O4,341.2567,1.32,0,0.80,0.029,6938,9,4,98.8,7.7,4,8,,,,341.2569,341.2568,,341.2556,341.2568,341.2569,341.2565,341.2566,341.2568,341.2572,,,,0.816,0.802,,0.787,0.793,0.806,0.803,0.787,0.806,0.804,,,,2928,4318,,3127,10665,9862,9663,5654,8937,7295,,,,,,,,,,,,,,,,,88.66,92.66,,75.72,95.80,90.12,96.95,96.51,98.85,96.54,,,,5,6,,5,5,4,7,4,8,5,
PC 36:6,C44 H76 N O8 P,777.5313,0.78,0,5.80,0.028,8072,12,1,97.9,7.5,5,8,,777.5302,777.5310,777.5314,777.5311,777.5320,777.5313,777.5308,777.5314,777.5322,777.5304,777.5315,777.5317,,5.803,5.797,5.797,5.794,5.790,5.801,5.789,5.793,5.808,5.787,5.815,5.796,,5794,8366,7173,8162,5783,7231,9424,7364,10107,10757,5804,10905,,,,,,,,,,,,,,,95.56,74.83,84.71,97.49,90.50,95.16,91.55,89.63,82.71,97.88,93.49,90.56,,5,7,6,6,5,7,8,6,6,7,7,6,
PC 36:6,C44 H76 N O8 P,777.5306,1.73,0,5.98,0.088,8492,13,0,99.3,17.1,1,10,777.5272,777.5305,777.5325,777.5298,777.5307,777.5311,777.5318,777.5316,777.5300,777.5299,777.5303,777.5300,777.5319,6.052,5.999,5.975,5.992,5.978,5.974,5.969,5.973,5.994,5.964,5.971,5.994,5.991,3007,4874,7177,9029,10918,5841,6821,9839,14261,13249,10594,6901,7894,,,,,,,,,,,,,,46.15,89.07,73.88,71.00,99.27,73.15,88.48,92.83,88.00,86.35,93.36,95.22,81.27,1,6,4,6,10,4,5,7,5,4,7,7,5,
SM d44:4,C49 H93 N2 O6 P,836.6770,1.35,0,8.38,0.016,328964,12,1,90.5,6.4,7,11,,836.6768,836.6782,836.6783,836.6768,836.6751,836.6787,836.6766,836.6777,836.6762,836.6754,836.6767,836.6776,,8.387,8.380,8.380,8.371,8.382,8.381,8.378,8.387,8.380,8.375,8.376,8.386,,238888,361048,312866,391110,290462,252499,348841,230040,393813,433847,405390,288776,,,,,,,,,,,,,,,76.87,74.15,88.85,80.93,86.74,82.93,82.30,83.84,88.40,75.59,83.04,90.45,,9,9,9,9,7,9,9,8,9,10,10,11,
BMP 18:2_22:6,C46 H75 O10 P,818.5076,1.94,0,5.54,0.097,3583,9,4,82.2,6.4,4,9,,818.5104,818.5080,,818.5074,818.5085,818.5074,,,818.5067,818.5048,818.5064,818.5088,,5.558,5.540,,5.521,5.539,5.466,,,5.563,5.509,5.537,5.561,,3662,2988,,3345,4019,1778,,,2651,5144,4736,3930,,,,,,,,,,,,,,,72.42,71.85,,74.24,74.56,64.52,,,70.02,75.38,72.87,82.20,,7,7,,9,9,4,,,9,8,9,8,
ACar 18:1(d3),C25 H44 D3 N O4,428.3701,3.13,0,2.68,0.051,406161,13,0,99.8,17.1,2,10,428.3745,428.3699,428.3698,428.3699,428.3697,428.3697,428.3697,428.3696,428.3696,428.3696,428.3699,428.3696,428.3698,2.639,2.684,2.685,2.684,2.682,2.689,2.685,2.686,2.685,2.684,2.686,2.686,2.691,3437,440547,468629,440811,449899,448919,391571,478852,444570,406612,447594,465134,393522,,,,,,,,,,,,,,41.08,99.08,99.33,99.22,99.62,99.62,99.57,99.56,99.52,99.77,99.32,99.66,99.52,2,9,8,9,7,8,8,9,9,9,9,10,7,

