Name,Formula,Mass (avg),"RSD (Mass, ppm)",Saturated,RT (avg),RT (span),Height (avg),Found,Missed,"Score (Tgt, max)",%RSD (Tgt),Ions (min),Ions (max),[Mass] eWAT_01_150x_pos_082121_031,[Mass] eWAT_02_150x_pos_082121_034,[Mass] eWAT_03_150x_pos_082121_026,[Mass] eWAT_04_150x_pos_082121_21,[Mass] eWAT_05_150x_pos_082121_027,[Mass] eWAT_06_150x_pos_082121_19,[Mass] eWAT_07_150x_pos_082121_032,[Mass] eWAT_08_150x_pos_082121_025,[Mass] eWAT_09_150x_pos_082121_22,[Mass] eWAT_10_150x_pos_082121_037,[Mass] eWAT_11_150x_pos_082121_033,[Mass] eWAT_12_150x_pos_082121_028,[Mass] eWAT_PB_150x_pos_082121_038,[RT] eWAT_01_150x_pos_082121_031,[RT] eWAT_02_150x_pos_082121_034,[RT] eWAT_03_150x_pos_082121_026,[RT] eWAT_04_150x_pos_082121_21,[RT] eWAT_05_150x_pos_082121_027,[RT] eWAT_06_150x_pos_082121_19,[RT] eWAT_07_150x_pos_082121_032,[RT] eWAT_08_150x_pos_082121_025,[RT] eWAT_09_150x_pos_082121_22,[RT] eWAT_10_150x_pos_082121_037,[RT] eWAT_11_150x_pos_082121_033,[RT] eWAT_12_150x_pos_082121_028,[RT] eWAT_PB_150x_pos_082121_038,[Height] eWAT_01_150x_pos_082121_031,[Height] eWAT_02_150x_pos_082121_034,[Height] eWAT_03_150x_pos_082121_026,[Height] eWAT_04_150x_pos_082121_21,[Height] eWAT_05_150x_pos_082121_027,[Height] eWAT_06_150x_pos_082121_19,[Height] eWAT_07_150x_pos_082121_032,[Height] eWAT_08_150x_pos_082121_025,[Height] eWAT_09_150x_pos_082121_22,[Height] eWAT_10_150x_pos_082121_037,[Height] eWAT_11_150x_pos_082121_033,[Height] eWAT_12_150x_pos_082121_028,[Height] eWAT_PB_150x_pos_082121_038,[Score (MFE)] eWAT_01_150x_pos_082121_031,[Score (MFE)] eWAT_02_150x_pos_082121_034,[Score (MFE)] eWAT_03_150x_pos_082121_026,[Score (MFE)] eWAT_04_150x_pos_082121_21,[Score (MFE)] eWAT_05_150x_pos_082121_027,[Score (MFE)] eWAT_06_150x_pos_082121_19,[Score (MFE)] eWAT_07_150x_pos_082121_032,[Score (MFE)] eWAT_08_150x_pos_082121_025,[Score (MFE)] eWAT_09_150x_pos_082121_22,[Score (MFE)] eWAT_10_150x_pos_082121_037,[Score (MFE)] eWAT_11_150x_pos_082121_033,[Score (MFE)] eWAT_12_150x_pos_082121_028,[Score (MFE)] eWAT_PB_150x_pos_082121_038,[Score (Tgt)] eWAT_01_150x_pos_082121_031,[Score (Tgt)] eWAT_02_150x_pos_082121_034,[Score (Tgt)] eWAT_03_150x_pos_082121_026,[Score (Tgt)] eWAT_04_150x_pos_082121_21,[Score (Tgt)] eWAT_05_150x_pos_082121_027,[Score (Tgt)] eWAT_06_150x_pos_082121_19,[Score (Tgt)] eWAT_07_150x_pos_082121_032,[Score (Tgt)] eWAT_08_150x_pos_082121_025,[Score (Tgt)] eWAT_09_150x_pos_082121_22,[Score (Tgt)] eWAT_10_150x_pos_082121_037,[Score (Tgt)] eWAT_11_150x_pos_082121_033,[Score (Tgt)] eWAT_12_150x_pos_082121_028,[Score (Tgt)] eWAT_PB_150x_pos_082121_038,[Ions] eWAT_01_150x_pos_082121_031,[Ions] eWAT_02_150x_pos_082121_034,[Ions] eWAT_03_150x_pos_082121_026,[Ions] eWAT_04_150x_pos_082121_21,[Ions] eWAT_05_150x_pos_082121_027,[Ions] eWAT_06_150x_pos_082121_19,[Ions] eWAT_07_150x_pos_082121_032,[Ions] eWAT_08_150x_pos_082121_025,[Ions] eWAT_09_150x_pos_082121_22,[Ions] eWAT_10_150x_pos_082121_037,[Ions] eWAT_11_150x_pos_082121_033,[Ions] eWAT_12_150x_pos_082121_028,[Ions] eWAT_PB_150x_pos_082121_038
TG 56:8,C59 H98 O6,902.7358,0.32,0,12.62,0.009,379812,12,1,99.3,1.3,15,20,902.7361,902.7355,902.7358,902.736,902.7354,902.7358,902.736,902.7358,902.7362,902.7362,902.7354,902.7359,,12.618,12.627,12.627,12.624,12.625,12.624,12.624,12.621,12.623,12.622,12.62,12.625,,293503,792660,137708,175918,805626,463012,151182,134195,216293,400485,504940,482221,,,,,,,,,,,,,,,98.61,94.83,99.33,99.34,99.11,99.03,98.99,98.78,98.83,98.72,98.77,97.29,,15,19,20,17,20,18,16,17,16,17,18,18,
DG 18:1_18:1,C39 H72 O5,620.5383,0.2,0,9.84,0.036,517563,13,0,99.9,7.3,5,22,620.5383,620.5384,620.5381,620.5382,620.5381,620.5382,620.5383,620.5381,620.5384,620.5382,620.5383,620.5382,620.5385,9.841,9.847,9.844,9.842,9.843,9.84,9.84,9.841,9.836,9.848,9.847,9.839,9.812,192793,415433,115211,210778,526078,296017,1024787,525932,979447,844329,675517,918977,3028,,,,,,,,,,,,,,99.7,99.47,97.32,99.87,99.86,99.65,99.64,99.79,99.54,99.31,99.55,99.74,74.04,15,15,14,13,17,16,22,17,20,17,18,20,5
TG 49:2,C52 H96 O6,816.7211,0.35,0,13.73,0.025,1122290,13,0,99.8,3,10,15,816.7212,816.7212,816.7209,816.7211,816.7215,816.7212,816.7211,816.7211,816.7214,816.7214,816.7212,816.7211,816.7203,13.737,13.737,13.733,13.734,13.735,13.729,13.735,13.733,13.733,13.733,13.732,13.735,13.754,1221957,1560410,914923,1097428,1620856,1093784,1087695,913096,1226091,1719781,983701,1144496,5555,,,,,,,,,,,,,,99.61,99.7,99.85,99.78,99.59,99.69,99.71,99.76,99.57,99.63,99.57,99.71,89.11,11,15,12,11,11,10,14,10,14,12,11,12,11
TG 18:0_18:1_22:5,C61 H106 O6,934.799,0.37,0,14.19,0.045,390158,13,0,99.3,6.5,7,20,934.7992,934.7993,934.799,934.7987,934.799,934.7995,934.7987,934.7985,934.7985,934.7996,934.7986,934.799,934.7988,14.191,14.195,14.197,14.192,14.199,14.198,14.154,14.17,14.19,14.197,14.169,14.198,14.156,276459,387754,189212,358571,521483,509188,524709,164710,593211,690136,325722,524721,6180,,,,,,,,,,,,,,96.97,98.44,97.19,92.61,98,86.51,91.7,96.11,82.32,97.55,92.34,99.28,81.68,17,18,14,13,16,15,16,15,16,20,18,18,7
TG 51:1,C54 H102 O6,846.7683,0.47,0,14.4,0.01,1534123,13,0,99.7,4.2,13,16,846.7683,846.7684,846.768,846.7685,846.7686,846.7683,846.7682,846.7683,846.7686,846.7688,846.7679,846.7686,846.7673,14.405,14.402,14.399,14.404,14.4,14.405,14.4,14.405,14.401,14.398,14.405,14.4,14.395,1401090,2163946,1229846,1254031,1962610,1430787,1815644,871394,1975290,2695277,1155069,1943853,44770,,,,,,,,,,,,,,99.51,99.31,99.4,99.14,99.02,99.41,99.49,99.31,99.07,98.54,99.7,98.81,84.51,14,14,15,16,14,15,15,15,14,15,16,14,13
TG 18:2_18:2_21:0,C60 H108 O6,924.8141,0.36,0,14.46,0.122,3121505,13,0,87,11.4,11,15,924.8141,924.814,924.8138,924.8135,924.814,924.8141,924.8144,924.8137,924.8146,924.8145,924.8145,924.8145,924.8142,14.466,14.346,14.461,14.46,14.463,14.461,14.456,14.467,14.457,14.459,14.466,14.464,14.468,2667796,942183,2518209,3297556,3694979,3624548,4702668,1935916,4570529,4773514,2821568,4988625,41478,,,,,,,,,,,,,,84.52,86.99,79.62,86.71,82.4,66.06,78.76,76.61,66.23,65.1,72.92,83.27,63.35,15,13,15,14,11,13,13,14,11,14,13,14,11
TG 12:0_12:2_16:1,C43 H76 O6,688.5641,1.21,0,10.27,0.029,374828,13,0,99.9,9.9,6,19,688.5643,688.5642,688.5642,688.5643,688.5642,688.5644,688.5644,688.5643,688.5645,688.5644,688.5647,688.5643,688.5614,10.264,10.276,10.273,10.271,10.272,10.264,10.27,10.269,10.266,10.272,10.276,10.268,10.247,358014,474184,268132,410087,657817,415015,345780,429208,368040,500346,333652,305139,7361,,,,,,,,,,,,,,99.82,99.7,99.57,99.8,99.79,99.71,99.58,99.92,99.72,99.27,99.34,99.84,65,14,11,11,13,19,13,13,14,13,16,14,13,6
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6064,0.36,0,7.82,0.092,185001,13,0,99.9,9.3,5,13,752.6062,752.6064,752.6066,752.6064,752.6063,752.6065,752.606,752.6066,752.6067,752.6062,752.6065,752.6065,752.6058,7.824,7.828,7.833,7.829,7.825,7.822,7.822,7.828,7.821,7.831,7.831,7.821,7.741,180315,230682,144508,196875,284049,168749,227552,145006,210590,259939,157297,193139,6316,,,,,,,,,,,,,,99.54,99.72,99.38,99.65,99.76,99.67,99.94,95.84,99.58,98.59,99.38,99.69,67.02,10,10,12,10,10,12,13,9,11,11,11,10,5
TG 50:3,C53 H96 O6,828.7217,0.37,0,13.57,0.028,2674586,13,0,97.8,3.9,10,15,828.7218,828.7218,828.7217,828.7216,828.7219,828.7216,828.7221,828.722,828.722,828.7216,828.7217,828.7216,828.7208,13.58,13.581,13.57,13.572,13.579,13.573,13.573,13.571,13.572,13.582,13.575,13.573,13.553,3350186,3848115,2896435,2713328,3558112,2874528,2300466,2199188,2130347,3907036,2499248,2482240,10401,,,,,,,,,,,,,,97.82,97.35,96.61,96.76,97.53,96.97,96.4,96.34,96.28,97.7,97.05,96.97,83.74,14,13,14,14,12,13,15,15,14,13,13,15,10
TG 16:0_18:1_22:0,C59 H112 O6,916.846,0.45,0,14.67,0.017,199197,13,0,99.5,7.4,8,18,916.8467,916.8463,916.8461,916.8465,916.8459,916.8462,916.8461,916.8458,916.8458,916.846,916.8455,916.8459,916.8452,14.68,14.671,14.674,14.678,14.674,14.679,14.674,14.68,14.674,14.673,14.68,14.674,14.663,153340,99730,159343,69906,317058,71609,301592,93140,319030,423074,151183,397606,32952,,,,,,,,,,,,,,93.11,98.87,95.15,98.31,99.15,99.09,99.36,73.75,99.26,99.54,97.13,99.51,90.96,15,15,13,17,15,12,18,8,17,17,18,18,11
TG 55:2,C58 H108 O6,900.8144,0.66,0,14.47,0.118,7642269,13,0,90.5,1.5,12,16,900.8144,900.8143,900.8148,900.8148,900.8144,900.8148,900.8147,900.814,900.8146,900.8148,900.8147,900.8143,900.8126,14.472,14.473,14.474,14.472,14.473,14.472,14.473,14.472,14.473,14.471,14.472,14.467,14.585,6955732,8830535,6266207,7762213,9909539,8463007,9084983,5013352,9741399,10578549,6844171,9841773,58048,,,,,,,,,,,,,,89.28,90.49,90.47,90.24,89.6,90,90.22,89.87,90.42,90.23,90.39,89.01,85.58,15,15,13,14,13,12,13,16,15,15,14,15,12
TG 52:6,C55 H94 O6,850.7052,0.5,0,12.69,0.089,364963,13,0,99.7,11.8,11,19,850.7051,850.7053,850.7052,850.7055,850.7054,850.7051,850.7051,850.7052,850.7054,850.7057,850.7053,850.7052,850.7039,12.685,12.694,12.683,12.691,12.692,12.691,12.697,12.688,12.696,12.683,12.687,12.697,12.772,578674,355503,416279,512228,845589,466237,362166,262101,363508,332159,92657,154038,3383,,,,,,,,,,,,,,99.37,99.48,99.28,99.21,99.55,99.57,99.11,99.64,99.24,99.18,99.49,99.67,58.53,17,17,15,15,16,15,16,16,17,17,16,19,11
TG 42:2,C45 H82 O6,718.6114,0.95,0,11.53,0.065,234367,13,0,99.9,12.6,3,13,718.6114,718.6111,718.6112,718.6114,718.6114,718.6112,718.6114,718.6112,718.6112,718.6111,718.6112,718.6113,718.6137,11.53,11.535,11.53,11.525,11.543,11.563,11.53,11.529,11.528,11.53,11.528,11.527,11.59,329621,134903,217640,147719,175485,81051,396911,386989,321555,317825,310495,222893,3697,,,,,,,,,,,,,,99.81,99.69,99.72,99.14,99.32,96.49,99.84,99.92,99.82,99.89,99.85,99.48,56.05,13,10,11,13,12,8,12,9,12,11,11,10,3
TG 49:1,C52 H98 O6,818.7369,0.26,0,14.17,0.006,1048393,12,1,99.8,0.2,11,15,818.7372,818.7371,818.7369,818.7367,818.7369,818.7372,818.7372,818.7366,818.7369,818.7371,818.7369,818.7367,,14.175,14.172,14.169,14.17,14.17,14.171,14.171,14.175,14.173,14.169,14.174,14.17,,919001,1461029,875775,821823,1300620,833436,1042730,789201,1120533,1614506,742464,1059608,,,,,,,,,,,,,,,99.32,99.5,99.57,99.72,99.57,99.28,99.25,99.82,99.63,99.47,99.67,99.81,,14,14,13,11,12,15,13,13,13,12,13,13,
TG 18:1_18:1_21:0,C60 H112 O6,928.8455,0.49,0,14.59,0.007,993160,13,0,93.2,5.9,12,16,928.8451,928.8452,928.8457,928.8464,928.8453,928.8459,928.8454,928.8462,928.8448,928.8457,928.8451,928.8458,928.8453,14.59,14.587,14.59,14.589,14.585,14.584,14.585,14.59,14.585,14.583,14.59,14.584,14.585,519955,1089968,546360,799828,1527833,942314,1401611,452288,1519886,1610010,716591,1736141,48306,,,,,,,,,,,,,,90.61,93.19,87.87,89.78,91.47,89.56,92.83,86.09,91.09,91.72,90.34,86.64,72.96,14,14,13,14,14,13,14,13,14,14,16,12,13
TG 53:6,C56 H96 O6,864.7206,0.32,0,12.72,0.064,173488,12,1,98.5,8.9,10,17,,864.7205,864.7206,864.721,864.7206,864.7204,864.7202,864.7207,864.7205,864.7212,864.7207,864.7205,864.7203,,12.722,12.722,12.724,12.703,12.719,12.73,12.722,12.724,12.711,12.72,12.714,12.767,,198415,93656,119463,424497,139222,238215,121920,128397,212686,299811,98938,6638,,,,,,,,,,,,,,,98.5,98.07,98.37,93.04,97.41,97.85,98.16,97.89,96.3,98.13,96.62,68.66,,16,13,17,12,14,13,14,14,17,15,13,10
TG 16:0_18:2_21:5,C58 H98 O6,890.7363,0.83,0,13.02,0.05,9396300,12,1,88.5,7.1,10,14,890.7359,890.7352,890.7367,890.736,890.7365,890.7372,890.7365,890.7369,890.7371,890.7352,890.7354,890.7369,,13.004,13.034,12.99,13.026,13.032,13.004,13.02,12.984,13.025,13.035,13.016,13.015,,9255499,9360268,8905342,9320748,9486754,9496720,9410821,9499299,9407582,9894774,9258440,9459363,,,,,,,,,,,,,,,81.55,83.91,82.15,85.05,71.49,84.36,88.46,79.14,82.05,79.61,83.75,68.2,,14,14,10,11,10,12,13,11,12,11,12,12,
TG 48:5,C51 H88 O6,796.6583,1.22,0,11.77,0.045,203335,13,0,99.9,12.5,6,15,796.6583,796.6577,796.6583,796.658,796.6581,796.6581,796.6581,796.658,796.6578,796.6581,796.6584,796.658,796.6615,11.77,11.774,11.775,11.771,11.771,11.77,11.77,11.768,11.774,11.775,11.773,11.767,11.73,297286,163382,194227,140375,205086,98768,287745,277703,255924,261486,259049,198246,4085,,,,,,,,,,,,,,99.78,99.6,99.55,99.55,99.68,99.64,99.87,99.9,99.73,99.85,99.55,99.23,56.27,12,12,14,13,13,12,14,13,15,11,13,13,6
TG 46:4,C49 H86 O6,770.6425,0.25,0,11.64,0.064,236715,13,0,99.8,11,6,15,770.6424,770.6423,770.6425,770.6426,770.6426,770.6425,770.6425,770.6424,770.6423,770.6423,770.6429,770.6427,770.6422,11.636,11.635,11.636,11.637,11.638,11.636,11.636,11.634,11.635,11.636,11.634,11.633,11.574,276345,156899,189589,161455,244666,116709,421313,284190,347187,307402,308280,258601,4664,,,,,,,,,,,,,,99.74,99.77,99.78,99.05,99.53,99.16,99.81,99.71,99.73,99.66,99.57,99.48,61.38,15,10,11,12,14,10,14,14,12,13,14,12,6
TG 58:5,C61 H108 O6,936.8146,0.57,0,14.38,0.097,368559,13,0,97,12.2,12,18,936.8149,936.8146,936.8148,936.8151,936.8145,936.8147,936.8146,936.8145,936.8149,936.8149,936.8149,936.8151,936.813,14.382,14.385,14.371,14.377,14.384,14.377,14.384,14.371,14.385,14.381,14.376,14.383,14.468,362045,537245,328932,402207,483001,297885,404966,145544,419643,520484,361366,493520,34432,,,,,,,,,,,,,,97.02,93.57,96.96,96.06,95.23,96.78,94.49,96.88,97,90.25,94.81,94.41,55.41,15,14,14,17,16,15,17,14,18,12,17,15,12
TG 12:0_12:0_18:2,C45 H82 O6,718.6116,1.59,0,11.53,0.065,235443,13,0,98.5,9.8,4,13,718.6114,718.6111,718.6112,718.6114,718.6113,718.6114,718.6114,718.6112,718.6112,718.6111,718.6112,718.6113,718.6154,11.53,11.535,11.53,11.525,11.543,11.563,11.53,11.529,11.528,11.53,11.528,11.527,11.59,328811,137176,214824,147892,174744,88952,396919,384910,323292,323101,310495,226609,3046,,,,,,,,,,,,,,95.75,96.56,95.81,94.33,97.74,98.54,95.89,95.65,95.5,95.86,95.45,94.95,63.25,13,10,12,13,12,8,12,9,13,11,11,11,4
TG 12:0_16:0_16:0,C47 H90 O6,750.6741,0.62,0,13.41,0.015,95604,13,0,99.1,2.4,6,8,750.6739,750.6741,750.6746,750.674,750.6741,750.6746,750.6742,750.674,750.6744,750.6739,750.6741,750.6744,750.6728,13.418,13.413,13.414,13.411,13.411,13.417,13.417,13.42,13.41,13.414,13.413,13.411,13.425,139287,70739,129539,49666,71935,42698,134998,141739,119385,110005,114406,112234,6224,,,,,,,,,,,,,,99.11,97.86,91.46,97.36,98.35,98.46,98.92,99,98.14,98.91,98.54,94.56,94.92,8,7,8,7,7,6,8,7,8,7,8,8,8
TG 12:0_12:0_18:1,C45 H84 O6,720.6271,0.55,0,12.16,0.07,175537,13,0,99.7,12.9,3,12,720.6268,720.6269,720.6269,720.6267,720.6269,720.627,720.6271,720.6273,720.6269,720.6269,720.627,720.6271,720.6283,12.155,12.164,12.154,12.15,12.162,12.161,12.155,12.153,12.154,12.159,12.151,12.157,12.22,253019,95821,164365,105490,113848,51638,298525,328683,231670,235500,232819,165761,4854,,,,,,,,,,,,,,99.64,99.29,99.12,99.01,99,99.66,99.74,99.6,99.74,99.63,99.68,99.32,54.84,9,7,10,8,10,8,9,10,11,10,10,12,3
PC 16:0_18:1,C42 H82 N O8 P,759.5781,0.41,0,8.33,0.063,123285,13,0,99.7,7.4,7,11,759.5776,759.5784,759.578,759.5779,759.5782,759.5782,759.5779,759.5777,759.578,759.578,759.578,759.5782,759.5789,8.32,8.33,8.324,8.325,8.327,8.323,8.329,8.325,8.329,8.333,8.333,8.329,8.27,76514,113557,31635,116322,219964,86373,187746,97231,173450,170003,138986,176363,14572,,,,,,,,,,,,,,97.84,97.51,99.34,98.6,99.65,99.2,99.68,99.07,99.48,97.06,99.36,99.21,73.27,8,10,11,10,11,9,11,9,7,8,8,10,9
DG 16:1_18:2,C37 H66 O5,590.4912,0.12,0,8.19,0.015,340505,12,1,99.8,0.6,13,17,590.4912,590.4913,590.4912,590.4911,590.4912,590.4911,590.4913,590.4913,590.4912,590.4911,590.4913,590.4913,,8.186,8.185,8.19,8.186,8.187,8.184,8.179,8.191,8.184,8.188,8.194,8.184,,150333,338190,103533,181631,320816,208881,537963,433339,446776,476919,489317,398370,,,,,,,,,,,,,,,98.93,99.74,97.6,99.35,99.7,99.68,99.81,99.28,99.74,99.66,99.21,99.81,,14,16,14,14,14,13,16,17,16,17,17,16,
TG 12:0_18:2_18:3,C51 H88 O6,796.6583,1.22,0,11.77,0.045,204252,13,0,99.9,12.3,6,15,796.6583,796.6577,796.6583,796.6578,796.6581,796.6581,796.6581,796.658,796.6578,796.6581,796.6584,796.658,796.6615,11.77,11.774,11.775,11.771,11.771,11.77,11.77,11.768,11.774,11.775,11.773,11.767,11.73,297286,163382,194227,138498,205086,113854,287123,277703,255924,261383,259049,198380,3387,,,,,,,,,,,,,,99.79,99.5,99.43,99.65,99.65,99.66,99.86,99.94,99.63,99.73,99.48,99.31,57.06,12,12,14,12,13,12,14,13,15,11,13,13,6
TG 14:0_16:0_16:0,C49 H94 O6,778.7055,0.25,0,14,0.017,69850,13,0,99.7,2.9,6,9,778.7057,778.7054,778.7057,778.7057,778.7053,778.7055,778.7055,778.7056,778.7052,778.7053,778.7059,778.7053,778.7055,13.995,14,13.99,13.997,13.987,13.986,14.003,14.002,13.995,13.995,14,13.992,13.988,78440,68545,90345,44043,84663,53191,98272,77662,77932,73288,71874,80093,9709,,,,,,,,,,,,,,99.46,99.67,99.53,94.99,99.24,99.26,99.43,99.26,99.49,99.72,99.09,99.73,89.84,7,6,7,6,7,6,6,7,6,6,7,6,9
TG 58:11,C61 H96 O6,924.7208,0.29,0,12.03,0.012,183640,12,1,99.7,1,13,17,924.721,924.7205,924.7207,924.7206,924.7208,924.7211,924.7205,924.721,924.7204,924.7213,924.7209,924.7209,,12.026,12.03,12.031,12.033,12.028,12.032,12.038,12.03,12.031,12.031,12.029,12.028,,214597,244338,153139,148157,271255,201496,96106,216431,129249,214804,150135,163977,,,,,,,,,,,,,,,99.32,95.91,99.32,99.1,99.7,99.54,99.55,99.41,99.37,99.58,98.97,99.29,,15,13,14,16,17,14,15,15,15,16,14,16,
TG 54:8,C57 H94 O6,874.7053,0.18,0,12.25,0.021,199306,12,1,98.6,0.9,13,18,874.7049,874.7052,874.7053,874.7054,874.7052,874.7053,874.7053,874.7055,874.7051,874.7053,874.7053,874.7055,,12.25,12.248,12.248,12.25,12.24,12.244,12.261,12.248,12.249,12.248,12.241,12.246,,178457,395002,204096,231174,295600,122511,169244,222049,83816,264288,130021,95415,,,,,,,,,,,,,,,98.19,98.5,98.45,98.11,98.18,98.41,95.6,98.59,96.61,97.76,98.5,98.11,,18,17,13,15,17,15,17,14,14,15,14,16,
TG 58:2,C61 H114 O6,942.8611,2.21,0,14.67,0.096,368387,13,0,99.9,12.5,13,19,942.8621,942.8615,942.8617,942.862,942.8616,942.8542,942.8618,942.8612,942.8616,942.862,942.8614,942.8617,942.8609,14.669,14.665,14.668,14.667,14.669,14.578,14.669,14.669,14.668,14.662,14.669,14.668,14.674,239172,310992,209407,319704,376184,287447,597248,158519,606726,609800,298021,748775,27040,,,,,,,,,,,,,,95.97,99.6,99.24,99.37,99.62,56.27,98.99,95.48,99.2,99.08,99.88,98.96,91.54,15,14,14,16,18,15,16,16,19,17,16,18,13
TG 52:7,C55 H92 O6,848.6895,0.24,0,11.96,0.037,201594,12,1,99.7,0.7,13,17,848.6898,848.6893,848.6899,848.6893,848.6893,848.6895,848.6895,848.6893,848.6895,848.6896,848.6896,848.6895,,11.954,11.953,11.948,11.955,11.983,11.954,11.96,11.947,11.97,11.97,11.956,11.967,,250689,297722,151185,229243,300385,162158,131363,253704,158316,227541,128597,128225,,,,,,,,,,,,,,,98.62,98.5,97.63,98.74,99.7,98.72,98.86,97.87,99.64,99.37,98.89,99.67,,15,14,15,16,16,14,13,17,14,15,17,14,
TG 55:1,C58 H110 O6,902.8295,0.69,0,14.59,0.016,610518,13,0,92.8,5.3,9,16,902.8301,902.8296,902.8307,902.8295,902.8289,902.8303,902.8291,902.8292,902.8283,902.8295,902.8298,902.8296,902.8293,14.596,14.592,14.59,14.594,14.59,14.595,14.59,14.596,14.59,14.589,14.596,14.59,14.58,419070,555998,438453,320014,1040200,605035,632806,116214,1000572,1328698,243819,1160908,74946,,,,,,,,,,,,,,80.12,92.25,91.25,86.79,92.84,91.49,89.29,86.18,90.29,87.69,80.34,83.16,81.39,9,11,16,13,12,12,11,12,13,11,15,12,11
TG 42:1,C45 H84 O6,720.6271,0.55,0,12.16,0.07,175249,13,0,99.8,13.2,3,12,720.6269,720.6269,720.6268,720.6267,720.6269,720.627,720.6271,720.6273,720.6269,720.6269,720.627,720.6271,720.6283,12.155,12.164,12.154,12.15,12.162,12.161,12.155,12.153,12.154,12.159,12.151,12.157,12.22,249397,95746,163960,105490,113848,54595,298525,326115,230207,235500,233587,166414,4854,,,,,,,,,,,,,,99.66,99.09,99.18,99.14,98.87,99.25,99.75,99.69,99.77,99.55,99.77,99.3,53.79,9,7,10,8,10,7,9,10,11,10,10,12,3
PC 16:0_16:0,C40 H80 N O8 P,733.5624,0.45,0,8.3,0.041,110432,13,0,99.7,3.8,6,15,733.5622,733.5626,733.5617,733.5623,733.5623,733.5625,733.5623,733.5623,733.5624,733.5625,733.5623,733.5625,733.5632,8.298,8.297,8.307,8.297,8.293,8.29,8.301,8.308,8.295,8.316,8.311,8.301,8.275,65574,83408,35110,102772,217566,88851,140285,91047,146279,150162,126630,182144,5789,,,,,,,,,,,,,,99.18,99.19,96.36,97.71,99.74,99.21,99.51,86.21,99.56,97.77,98.72,99.29,94.3,11,11,9,12,15,12,10,8,13,12,10,10,6
TG 51:5,C54 H94 O6,838.7052,0.22,0,12.63,0.016,105195,12,1,99.3,0.6,11,17,838.7053,838.7051,838.7051,838.7052,838.705,838.7052,838.7052,838.7052,838.7055,838.7051,838.7047,838.7053,,12.635,12.632,12.627,12.629,12.625,12.63,12.63,12.627,12.623,12.627,12.625,12.619,,89879,95620,47419,60447,174782,71056,80605,58414,236922,215110,78045,54045,,,,,,,,,,,,,,,98.44,98.54,98.76,99.01,99.17,97.9,99.11,98.59,99.06,99.28,99,97.29,,13,12,13,13,13,11,17,17,16,13,12,14,
TG 12:0_12:2_16:0,C43 H78 O6,690.5801,0.34,0,10.95,0.031,159009,13,0,99.8,9.6,3,14,690.5798,690.5799,690.58,690.5799,690.5801,690.5803,690.5801,690.5801,690.5802,690.5801,690.5801,690.58,690.5808,10.944,10.944,10.946,10.946,10.935,10.939,10.95,10.943,10.958,10.951,10.955,10.959,10.966,149514,210366,128161,161297,344984,149437,141091,198629,138042,215006,121135,106426,3033,,,,,,,,,,,,,,99.25,99.84,99.77,99.78,99.77,99.65,97.35,99.61,98.69,99.53,98.99,98.54,65.96,14,12,12,12,13,14,9,14,12,13,11,12,3
TG 16:1_18:2_20:5,C57 H94 O6,874.7053,0.18,0,12.25,0.021,193982,12,1,99.3,0.6,12,18,874.7049,874.7052,874.7052,874.7054,874.7052,874.7052,874.7055,874.7053,874.7052,874.7053,874.7053,874.7055,,12.25,12.248,12.248,12.25,12.24,12.244,12.261,12.248,12.249,12.248,12.241,12.246,,178560,393609,176289,239060,294465,94951,97429,332661,34174,271321,127748,87517,,,,,,,,,,,,,,,99.11,99.19,99.23,99.11,97.79,98.61,97.9,99.34,97.78,98.52,98.22,98.51,,18,17,12,15,17,15,16,16,13,15,14,16,
TG 60:2,C63 H118 O6,970.8929,0.47,0,14.74,0.008,115524,10,3,99.1,7.9,12,16,970.8926,,970.8928,970.8932,970.8927,970.8931,970.893,,970.8937,,970.8932,970.8929,970.8919,14.747,,14.747,14.74,14.741,14.74,14.741,,14.741,,14.748,14.741,14.747,71448,,96243,75770,173057,89189,184779,,86012,,93955,265387,19406,,,,,,,,,,,,,,85.33,,80.16,99.14,94.98,97.7,98.98,,98.64,,97.54,96.2,82.82,16,,12,13,14,15,15,,15,,16,14,12
SM d34:1,C39 H79 N2 O6 P,702.5677,0.33,0,7.36,0.048,92647,13,0,99.8,4.4,10,15,702.5676,702.5676,702.5677,702.5676,702.5678,702.5673,702.5679,702.5682,702.5677,702.5679,702.5679,702.5679,702.5674,7.361,7.365,7.364,7.36,7.356,7.36,7.359,7.36,7.353,7.368,7.368,7.358,7.401,82160,92541,32036,102566,194980,90494,98025,83229,106475,103638,85703,130215,2359,,,,,,,,,,,,,,99.54,99.61,98.86,99.53,99.76,99.58,99.36,99.37,96.87,99.09,99.37,99.69,84.07,14,11,11,12,14,15,13,12,12,13,11,14,10
