Name,Formula,Mass (avg),"RSD (Mass, ppm)",Saturated,RT (avg),RT (span),Height (avg),Found,Missed,"Score (Tgt, max)",%RSD (Tgt),Ions (min),Ions (max),[Mass] eWAT_01_150x_pos_082121_031,[Mass] eWAT_02_150x_pos_082121_034,[Mass] eWAT_03_150x_pos_082121_026,[Mass] eWAT_04_150x_pos_082121_21,[Mass] eWAT_05_150x_pos_082121_027,[Mass] eWAT_06_150x_pos_082121_19,[Mass] eWAT_07_150x_pos_082121_032,[Mass] eWAT_08_150x_pos_082121_025,[Mass] eWAT_09_150x_pos_082121_22,[Mass] eWAT_10_150x_pos_082121_037,[Mass] eWAT_11_150x_pos_082121_033,[Mass] eWAT_12_150x_pos_082121_028,[Mass] eWAT_PB_150x_pos_082121_038,[RT] eWAT_01_150x_pos_082121_031,[RT] eWAT_02_150x_pos_082121_034,[RT] eWAT_03_150x_pos_082121_026,[RT] eWAT_04_150x_pos_082121_21,[RT] eWAT_05_150x_pos_082121_027,[RT] eWAT_06_150x_pos_082121_19,[RT] eWAT_07_150x_pos_082121_032,[RT] eWAT_08_150x_pos_082121_025,[RT] eWAT_09_150x_pos_082121_22,[RT] eWAT_10_150x_pos_082121_037,[RT] eWAT_11_150x_pos_082121_033,[RT] eWAT_12_150x_pos_082121_028,[RT] eWAT_PB_150x_pos_082121_038,[Height] eWAT_01_150x_pos_082121_031,[Height] eWAT_02_150x_pos_082121_034,[Height] eWAT_03_150x_pos_082121_026,[Height] eWAT_04_150x_pos_082121_21,[Height] eWAT_05_150x_pos_082121_027,[Height] eWAT_06_150x_pos_082121_19,[Height] eWAT_07_150x_pos_082121_032,[Height] eWAT_08_150x_pos_082121_025,[Height] eWAT_09_150x_pos_082121_22,[Height] eWAT_10_150x_pos_082121_037,[Height] eWAT_11_150x_pos_082121_033,[Height] eWAT_12_150x_pos_082121_028,[Height] eWAT_PB_150x_pos_082121_038,[Score (MFE)] eWAT_01_150x_pos_082121_031,[Score (MFE)] eWAT_02_150x_pos_082121_034,[Score (MFE)] eWAT_03_150x_pos_082121_026,[Score (MFE)] eWAT_04_150x_pos_082121_21,[Score (MFE)] eWAT_05_150x_pos_082121_027,[Score (MFE)] eWAT_06_150x_pos_082121_19,[Score (MFE)] eWAT_07_150x_pos_082121_032,[Score (MFE)] eWAT_08_150x_pos_082121_025,[Score (MFE)] eWAT_09_150x_pos_082121_22,[Score (MFE)] eWAT_10_150x_pos_082121_037,[Score (MFE)] eWAT_11_150x_pos_082121_033,[Score (MFE)] eWAT_12_150x_pos_082121_028,[Score (MFE)] eWAT_PB_150x_pos_082121_038,[Score (Tgt)] eWAT_01_150x_pos_082121_031,[Score (Tgt)] eWAT_02_150x_pos_082121_034,[Score (Tgt)] eWAT_03_150x_pos_082121_026,[Score (Tgt)] eWAT_04_150x_pos_082121_21,[Score (Tgt)] eWAT_05_150x_pos_082121_027,[Score (Tgt)] eWAT_06_150x_pos_082121_19,[Score (Tgt)] eWAT_07_150x_pos_082121_032,[Score (Tgt)] eWAT_08_150x_pos_082121_025,[Score (Tgt)] eWAT_09_150x_pos_082121_22,[Score (Tgt)] eWAT_10_150x_pos_082121_037,[Score (Tgt)] eWAT_11_150x_pos_082121_033,[Score (Tgt)] eWAT_12_150x_pos_082121_028,[Score (Tgt)] eWAT_PB_150x_pos_082121_038,[Ions] eWAT_01_150x_pos_082121_031,[Ions] eWAT_02_150x_pos_082121_034,[Ions] eWAT_03_150x_pos_082121_026,[Ions] eWAT_04_150x_pos_082121_21,[Ions] eWAT_05_150x_pos_082121_027,[Ions] eWAT_06_150x_pos_082121_19,[Ions] eWAT_07_150x_pos_082121_032,[Ions] eWAT_08_150x_pos_082121_025,[Ions] eWAT_09_150x_pos_082121_22,[Ions] eWAT_10_150x_pos_082121_037,[Ions] eWAT_11_150x_pos_082121_033,[Ions] eWAT_12_150x_pos_082121_028,[Ions] eWAT_PB_150x_pos_082121_038
TG 55:3,C58 H106 O6,898.7992,0.57,0,14.47,0.008,6899664,13,0,88.8,13.2,9,14,898.7992,898.7987,898.7986,898.7993,898.8004,898.7986,898.7994,898.7991,898.7999,898.7992,898.7994,898.7993,898.7989,14.472,14.469,14.472,14.472,14.472,14.472,14.467,14.472,14.472,14.465,14.472,14.467,14.474,6447324,7964021,5946195,7135555,8482571,7612192,8067017,4961123,8470593,9320126,6517893,8691548,79484,,,,,,,,,,,,,,88.79,64.98,78.84,64.48,63.02,64.42,65.77,86.9,64.66,65.98,76.37,66.01,62.31,12,11,14,9,10,12,9,12,10,9,13,11,11
TG 56:9,C59 H96 O6,900.7205,1.68,0,12.32,0.064,526465,13,0,99,9.6,8,19,900.7205,900.7208,900.7213,900.7208,900.7211,900.7205,900.721,900.7207,900.7207,900.7215,900.7209,900.721,900.7155,12.322,12.326,12.321,12.323,12.323,12.323,12.323,12.32,12.322,12.321,12.324,12.318,12.382,693381,886426,593928,542804,774382,440968,364969,674017,394273,661178,562815,251251,3665,,,,,,,,,,,,,,98.72,99.03,98.18,98.78,98.74,98.69,98.61,98.4,98.5,98.05,98.83,97.96,65.33,17,17,17,19,18,18,17,19,15,16,19,17,8
TG 16:1_18:2_22:6,C59 H96 O6,900.7184,2.26,0,12.5,0.013,1032237,13,0,93.8,12.1,11,19,900.7168,900.7187,900.7181,900.7162,900.721,900.7172,900.7211,900.7208,900.7163,900.7187,900.7164,900.7165,900.7214,12.501,12.498,12.505,12.501,12.498,12.496,12.507,12.501,12.5,12.5,12.503,12.496,12.494,931526,1186698,941109,1161497,1203988,1103599,1132599,1190543,1114763,1166240,1176284,1105257,4985,,,,,,,,,,,,,,70.17,90.59,93.66,91.01,70.54,80.15,68.79,69.97,88.6,72.4,93.78,82.73,85.88,14,19,17,17,13,14,11,12,15,16,15,16,12
TG 18:0_18:1_22:6,C61 H104 O6,932.7824,0.73,0,14.16,0.075,825176,12,1,80.8,9.5,13,18,932.7821,932.7825,932.7838,932.7816,932.7826,932.7823,932.782,932.7819,932.7818,932.7826,932.7836,932.782,,14.163,14.162,14.091,14.159,14.16,14.159,14.165,14.164,14.162,14.16,14.163,14.159,,591386,944895,347866,713513,1154106,644844,1087977,430661,1184740,1241348,669894,890888,,,,,,,,,,,,,,,61.1,66.62,80.78,68.54,61.92,62.28,72.64,68.11,61.39,72.06,75.44,62.28,,14,16,13,15,14,15,16,15,17,18,15,14,
TG 54:1,C57 H108 O6,888.815,0.4,0,14.59,0.011,1208232,13,0,99.8,3.5,14,19,888.8149,888.8153,888.8147,888.8148,888.8154,888.8146,888.815,888.8147,888.8151,888.8157,888.815,888.8156,888.8147,14.596,14.587,14.59,14.589,14.59,14.589,14.59,14.596,14.59,14.589,14.596,14.59,14.585,797675,1511407,886251,963709,1990172,423844,1309659,172194,1971111,2526987,898910,2198082,57027,,,,,,,,,,,,,,99.68,99.29,99.68,99.69,99.38,99.8,99.66,99.76,99.57,99.28,99.3,99.42,87.03,17,17,15,17,18,14,19,18,19,17,17,18,15
TG 54:6,C57 H98 O6,878.7368,0.7,0,13.32,0.016,987965,13,0,98.6,10.8,9,18,878.7373,878.7368,878.7366,878.7369,878.7372,878.7373,878.7363,878.7367,878.7368,878.7375,878.7361,878.7375,878.7353,13.317,13.324,13.319,13.316,13.317,13.316,13.316,13.319,13.321,13.319,13.318,13.316,13.308,1656030,2221990,115084,1175565,540595,352933,1043036,1426444,1035046,939539,1162915,1171528,2844,,,,,,,,,,,,,,81.27,84.92,98.59,82.04,98.34,93.42,82.13,98.41,81.81,95.62,83.61,83,66.8,14,13,18,15,17,14,13,13,14,13,15,14,9
TG 58:10,C61 H98 O6,926.7367,0.25,0,12.53,0.009,1028979,13,0,99,4.7,10,19,926.7369,926.7368,926.7366,926.7368,926.7366,926.7368,926.7362,926.7365,926.7369,926.7369,926.7366,926.7366,926.7371,12.523,12.53,12.521,12.529,12.524,12.523,12.524,12.526,12.529,12.527,12.53,12.524,12.527,1032674,1439120,747390,804128,1760733,1207087,778399,1064452,1047094,1330183,898265,1262777,4428,,,,,,,,,,,,,,96.72,96.84,98.43,98.23,95.95,97.34,98.18,98.3,99.01,94.24,98.89,98.62,82.08,16,16,19,15,18,14,18,13,16,17,18,16,10
TG 50:1,C53 H100 O6,832.7531,0.51,0,14.32,0.019,10347197,13,0,97.8,1.3,12,20,832.7533,832.7534,832.7528,832.7533,832.7531,832.7531,832.7531,832.7527,832.7535,832.7534,832.7532,832.7533,832.7519,14.319,14.318,14.315,14.315,14.317,14.316,14.316,14.315,14.318,14.314,14.318,14.316,14.301,11668246,12546423,11958878,10261105,11411379,11209592,10755842,10570334,9822502,12862470,10313889,10953296,179613,,,,,,,,,,,,,,97.84,97.08,97.54,97,97.3,96.83,96.99,97.26,96.69,96.06,96.89,96.63,92.84,18,17,20,14,16,15,17,17,16,16,16,15,12
TG 18:1_18:1_22:4,C61 H106 O6,934.799,0.5,0,14.19,0.08,373926,10,3,95,12.6,8,20,934.7997,,,934.7987,934.799,934.7995,934.7987,934.7985,934.7985,934.7996,934.799,,934.7986,14.191,,,14.192,14.199,14.198,14.154,14.119,14.19,14.197,14.169,,14.156,262633,,,358571,496004,509188,524709,88405,593211,690136,207857,,8550,,,,,,,,,,,,,,83.39,,,78.35,82.55,70.56,91.16,94.95,68.72,82.06,86.26,,62.85,19,,,13,13,15,16,17,16,20,15,,8
TG 56:8,C59 H98 O6,902.7353,0.84,0,13.07,0.011,2096243,13,0,91.3,7.2,12,16,902.735,902.7356,902.7348,902.7341,902.7359,902.736,902.7346,902.735,902.737,902.7353,902.7345,902.7357,902.7351,13.071,13.078,13.068,13.07,13.077,13.071,13.076,13.068,13.075,13.079,13.072,13.071,13.079,2016880,2346596,1923169,1666100,3471673,2899852,1717058,2026957,1991880,2780939,1598197,2808652,3208,,,,,,,,,,,,,,72.94,81.74,72.6,79.16,80.28,83.71,80.25,72.66,80.36,87.61,87.16,79.42,91.31,13,14,14,15,16,15,13,14,12,14,15,14,15
