"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Heart_01_20x_pos_081321_090,[Mass] Heart_02_20x_pos_081321_083,[Mass] Heart_03_20x_pos_081321_092,[Mass] Heart_04_20x_pos_081321_086,[Mass] Heart_05_20x_pos_081321_096,[Mass] Heart_06_20x_pos_081321_089,[Mass] Heart_07_20x_pos_081321_101,[Mass] Heart_08_20x_pos_081321_085,[Mass] Heart_09_20x_pos_081321_102,[Mass] Heart_10_20x_pos_081321_097,[Mass] Heart_11_20x_pos_081321_095,[Mass] Heart_12_20x_pos_081321_091,[Mass] PB_20x_pos_081321_084,[RT] Heart_01_20x_pos_081321_090,[RT] Heart_02_20x_pos_081321_083,[RT] Heart_03_20x_pos_081321_092,[RT] Heart_04_20x_pos_081321_086,[RT] Heart_05_20x_pos_081321_096,[RT] Heart_06_20x_pos_081321_089,[RT] Heart_07_20x_pos_081321_101,[RT] Heart_08_20x_pos_081321_085,[RT] Heart_09_20x_pos_081321_102,[RT] Heart_10_20x_pos_081321_097,[RT] Heart_11_20x_pos_081321_095,[RT] Heart_12_20x_pos_081321_091,[RT] PB_20x_pos_081321_084,[Height] Heart_01_20x_pos_081321_090,[Height] Heart_02_20x_pos_081321_083,[Height] Heart_03_20x_pos_081321_092,[Height] Heart_04_20x_pos_081321_086,[Height] Heart_05_20x_pos_081321_096,[Height] Heart_06_20x_pos_081321_089,[Height] Heart_07_20x_pos_081321_101,[Height] Heart_08_20x_pos_081321_085,[Height] Heart_09_20x_pos_081321_102,[Height] Heart_10_20x_pos_081321_097,[Height] Heart_11_20x_pos_081321_095,[Height] Heart_12_20x_pos_081321_091,[Height] PB_20x_pos_081321_084,[Score (MFE)] Heart_01_20x_pos_081321_090,[Score (MFE)] Heart_02_20x_pos_081321_083,[Score (MFE)] Heart_03_20x_pos_081321_092,[Score (MFE)] Heart_04_20x_pos_081321_086,[Score (MFE)] Heart_05_20x_pos_081321_096,[Score (MFE)] Heart_06_20x_pos_081321_089,[Score (MFE)] Heart_07_20x_pos_081321_101,[Score (MFE)] Heart_08_20x_pos_081321_085,[Score (MFE)] Heart_09_20x_pos_081321_102,[Score (MFE)] Heart_10_20x_pos_081321_097,[Score (MFE)] Heart_11_20x_pos_081321_095,[Score (MFE)] Heart_12_20x_pos_081321_091,[Score (MFE)] PB_20x_pos_081321_084,[Score (Tgt)] Heart_01_20x_pos_081321_090,[Score (Tgt)] Heart_02_20x_pos_081321_083,[Score (Tgt)] Heart_03_20x_pos_081321_092,[Score (Tgt)] Heart_04_20x_pos_081321_086,[Score (Tgt)] Heart_05_20x_pos_081321_096,[Score (Tgt)] Heart_06_20x_pos_081321_089,[Score (Tgt)] Heart_07_20x_pos_081321_101,[Score (Tgt)] Heart_08_20x_pos_081321_085,[Score (Tgt)] Heart_09_20x_pos_081321_102,[Score (Tgt)] Heart_10_20x_pos_081321_097,[Score (Tgt)] Heart_11_20x_pos_081321_095,[Score (Tgt)] Heart_12_20x_pos_081321_091,[Score (Tgt)] PB_20x_pos_081321_084,[Ions] Heart_01_20x_pos_081321_090,[Ions] Heart_02_20x_pos_081321_083,[Ions] Heart_03_20x_pos_081321_092,[Ions] Heart_04_20x_pos_081321_086,[Ions] Heart_05_20x_pos_081321_096,[Ions] Heart_06_20x_pos_081321_089,[Ions] Heart_07_20x_pos_081321_101,[Ions] Heart_08_20x_pos_081321_085,[Ions] Heart_09_20x_pos_081321_102,[Ions] Heart_10_20x_pos_081321_097,[Ions] Heart_11_20x_pos_081321_095,[Ions] Heart_12_20x_pos_081321_091,[Ions] PB_20x_pos_081321_084,
SM d37:2,C42 H83 N2 O6 P,742.5961,0.90,0,7.95,0.022,151443,12,1,94.8,7.1,8,12,742.5972,742.5962,742.5972,742.5959,742.5955,742.5970,742.5957,742.5958,742.5958,742.5954,742.5956,742.5960,,7.960,7.952,7.948,7.937,7.947,7.954,7.954,7.946,7.945,7.945,7.949,7.947,,61920,139014,176536,235135,190130,30031,112668,125311,200288,200232,196164,149898,,,,,,,,,,,,,,,94.76,90.88,92.59,87.85,87.14,93.20,84.55,91.10,87.78,87.27,70.70,91.32,,10,12,11,8,9,11,11,10,10,9,9,11,,
TG 16:0_16:0_17:0,C52 H100 O6,820.7520,0.51,0,14.41,0.084,119684,13,0,98.7,10.3,11,15,820.7518,820.7520,820.7514,820.7523,820.7515,820.7519,820.7521,820.7526,820.7527,820.7516,820.7521,820.7519,820.7525,14.330,14.411,14.330,14.332,14.334,14.332,14.413,14.406,14.408,14.329,14.408,14.406,14.410,121780,65467,326558,165037,153198,285824,53342,64283,57317,97862,56060,65267,43905,,,,,,,,,,,,,,73.64,98.57,80.96,85.65,85.58,74.76,96.19,96.81,98.69,80.35,94.82,96.99,92.82,12,15,12,12,13,13,13,12,15,14,11,15,14,
PE 16:1_22:6,C43 H72 N O8 P,761.5000,1.28,0,6.50,0.038,34046,12,1,93.2,9.7,6,11,761.5027,761.4999,761.5000,761.4996,761.4998,761.4997,761.4986,761.4993,761.4999,761.5002,761.5003,761.4996,,6.495,6.508,6.494,6.499,6.508,6.489,6.526,6.491,6.514,6.503,6.511,6.499,,8830,38842,43457,53925,32660,38224,21334,30999,34079,39664,40887,25652,,,,,,,,,,,,,,,67.78,88.21,91.58,91.82,86.76,93.15,70.41,92.34,87.71,90.67,84.94,83.97,,7,9,9,9,8,10,6,10,11,9,9,8,,
TG 51:3,C54 H98 O6,842.7366,0.47,0,13.73,0.021,46057,11,2,99.6,3.0,11,16,842.7371,842.7362,842.7367,842.7362,842.7362,842.7368,,842.7373,842.7367,842.7367,842.7364,842.7363,,13.720,13.723,13.731,13.736,13.736,13.728,,13.741,13.730,13.741,13.731,13.735,,35627,35856,112088,69222,40846,117008,,27668,12867,24176,15298,15975,,,,,,,,,,,,,,,96.58,98.14,99.59,99.28,99.04,98.86,,98.06,89.27,95.07,97.37,98.35,,12,12,11,12,11,15,,15,16,14,13,14,,
PC 37:5,C45 H80 N O8 P,793.5623,1.26,0,6.88,0.065,74897,13,0,90.4,7.0,5,17,793.5623,793.5621,793.5620,793.5619,793.5623,793.5617,793.5619,793.5615,793.5625,793.5621,793.5619,793.5620,793.5655,6.879,6.876,6.884,6.882,6.876,6.873,6.883,6.881,6.881,6.882,6.884,6.883,6.938,26841,98114,91023,130933,88329,63219,44085,74591,72905,88139,64616,128451,2421,,,,,,,,,,,,,,88.65,77.29,83.60,85.10,88.66,87.72,80.24,90.37,89.44,80.08,86.79,84.63,69.66,11,12,15,15,16,14,13,17,17,13,15,14,5,
TG 48:4,C51 H90 O6,798.6738,0.39,0,12.34,0.024,36108,12,1,98.8,1.9,9,14,798.6741,798.6736,798.6738,798.6740,798.6738,798.6742,798.6732,798.6738,798.6744,798.6739,798.6736,798.6738,,12.339,12.343,12.344,12.349,12.338,12.331,12.326,12.350,12.348,12.348,12.329,12.344,,13162,29236,61018,62605,50439,35490,14014,32400,33371,40444,28527,32597,,,,,,,,,,,,,,,95.26,92.99,98.75,95.99,93.75,97.84,92.91,96.01,96.69,97.38,95.41,95.82,,9,12,11,12,12,13,11,13,10,12,13,14,,
LPC 22:6/0:0,C30 H50 N O7 P,567.3323,1.95,0,1.67,0.015,20905,13,0,98.4,9.9,4,8,567.3327,567.3326,567.3327,567.3324,567.3330,567.3326,567.3325,567.3321,567.3326,567.3329,567.3324,567.3329,567.3287,1.677,1.674,1.671,1.663,1.672,1.669,1.673,1.670,1.669,1.668,1.669,1.668,1.671,9332,11151,41554,49394,25798,28960,13838,16242,17234,23219,16836,16359,1852,,,,,,,,,,,,,,95.71,94.91,97.92,98.25,96.94,97.32,93.40,90.06,97.99,97.29,98.35,94.97,63.75,5,7,6,7,7,6,7,6,8,7,6,7,4,
Cer_NS d18:1_22:0,C40 H79 N O3,621.6063,0.23,0,10.99,0.023,69836,12,1,99.6,1.7,9,13,621.6063,621.6063,621.6062,621.6064,621.6064,621.6065,621.6060,621.6062,621.6062,621.6065,621.6064,621.6062,,10.993,10.987,10.993,10.989,11.009,10.996,10.998,10.998,11.001,10.996,10.994,10.992,,37962,52033,86117,98820,71334,67163,37364,74501,80184,94757,81271,56537,,,,,,,,,,,,,,,98.55,94.50,99.64,98.87,95.37,98.66,98.57,99.34,99.47,98.72,99.47,98.92,,11,10,12,11,11,12,9,12,12,13,12,12,,
TG 62:3,C65 H120 O6,996.9080,0.88,0,14.73,0.024,61238,13,0,98.1,9.7,9,16,996.9081,996.9082,996.9085,996.9079,996.9072,996.9087,996.9089,996.9082,996.9080,996.9091,996.9076,996.9078,996.9056,14.711,14.735,14.722,14.727,14.727,14.723,14.727,14.735,14.727,14.726,14.726,14.731,14.723,39596,65804,95731,94141,63865,44186,50886,50940,68654,87099,66205,49957,19031,,,,,,,,,,,,,,86.08,82.99,97.48,98.14,88.53,83.08,94.35,91.05,78.32,91.38,87.56,86.57,66.43,14,14,15,16,16,14,14,11,14,12,15,13,9,
PC 20:3_20:4,C48 H82 N O8 P,831.5783,1.86,0,6.85,0.101,61641,12,1,98.2,21.5,3,16,831.5782,831.5781,831.5782,831.5780,831.5776,831.5776,,831.5778,831.5780,831.5776,831.5779,831.5780,831.5832,6.846,6.854,6.850,6.837,6.848,6.856,,6.865,6.853,6.859,6.845,6.850,6.938,23702,42623,82813,89956,66062,77937,,70637,86200,74751,61593,60026,3399,,,,,,,,,,,,,,91.25,95.40,98.23,96.50,96.53,97.67,,98.12,97.94,95.49,98.09,97.80,29.09,12,12,13,15,16,12,,11,14,15,14,13,3,
